Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Medtronic plc,MDT,"",4181.0,434000.0,0.00257949,0.0028,184,1392.0,49.910362,addition,0.0003110,Q3 2018,HEALTH CARE,13F,09/30/2020,99.8242,114.03
Aerojet rocketdyne holdings  inc. (general tire and rubber - gencorp),AJRD,"",10640.0,424000.0,0.00252005,0.0027,185,4225.0,65.861263,addition,0.0135332,Q2 2019,INDUSTRIALS,13F,09/30/2020,42.4825,52.85
Lincoln electric holdings inc,LECO,"",4538.0,418000.0,0.00248439,0.0033,186,932.0,25.845813,addition,0.0076440,Q3 2019,INDUSTRIALS,13F,09/30/2020,87.5901,118.81
Bertrandt ag shs (deu),BDGXF,"",10898.0,409000.0,0.0024309,0.0031,187,3594.0,49.205915,addition,0.1074410,Q3 2017, ,13F,09/30/2020,,
Michelin compagnie generale des  class b ordinary,MGDDF,"",3786.0,407000.0,0.00241901,,188,3786.0,,new,0.0021219,Q3 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,107.4,131.1
Siemens a.g. ordinary,SMAWF,"",3174.0,402000.0,0.0023893,0.004,189,16.0,0.50665,addition,0.0003905,Q3 2017,HEALTH CARE,13F,09/30/2020,110.2963,141.8
Oc oerlikon corp inc ordinary,OERLF,"",47694.0,380000.0,0.00225854,0.0033,190,10288.0,27.503609,addition,0.0142728,Q2 2019,INDUSTRIALS,13F,09/30/2020,10.7333,9.225
Ultra clean holdings inc,UCTT,"",17231.0,370000.0,0.0021991,0.004,191,619.0,3.726222,addition,0.0426510,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,15.8394,31.65
General electric co,GE,"",57632.0,359000.0,0.00213372,0.0031,192,15311.0,36.178257,addition,0.0006584,Q4 2016,INDUSTRIALS,13F,09/30/2020,11.877,10.65
Nuvasive inc,NUVA,"",6884.0,334000.0,0.00198514,0.003,193,1893.0,37.928271,addition,0.0134315,Q4 2018,HEALTH CARE,13F,09/30/2020,51.2961,53.62
Kaiser aluminum corp,KALU,"",5790.0,310000.0,0.00184249,0.0029,194,2128.0,58.110322,addition,0.0366174,Q2 2019,MATERIALS,13F,09/30/2020,78.2563,95.65
Shopify inc,SHOP,"",188.0,192000.0,0.00114116,0.0054,195,-339.0,-64.326376,reduction,0.0001710,Q2 2017,COMMUNICATIONS,13F,09/30/2020,389.47,1225.52
Ayala pharmaceuticals  inc.,AYLA,"",12063.0,139000.0,0.00082615,,196,12063.0,,new,0.0943950,Q3 2020,HEALTH CARE,13F,09/30/2020,11.52,11.75
Eventbrite inc,EB,"",9767.0,106000.0,0.000630014,0.0014,197,-5726.0,-36.958626,reduction,0.0107507,Q4 2018,COMMUNICATIONS,13F,09/30/2020,18.52,18.75
Ark innovation etf,ARKK,"",1110.0,102000.0,0.000606239,,198,1110.0,,new,No Data,Q3 2020,FINANCE,13F,09/30/2020,92.0,133.03
Voest-alpine ag npv,VLPNF,"",2715.0,72000.0,0.000427934,,199,2715.0,,new,0.0015208,Q3 2020, ,13F,09/30/2020,,
Koninklijke dsm nv ordinary,KDSKF,"",417.0,69000.0,0.000410103,0.0005,200,94.0,29.102167,addition,0.0002418,Q3 2017,MATERIALS,13F,09/30/2020,129.3642,172.58
Gmo internet inc ord shs (jpn),GMOYF,"",2700.0,69000.0,0.000410103,0.0008,201,0.0,0.0,,0.0024712,Q3 2018, ,13F,09/30/2020,,
