Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Nano dimension ltd adr,NNDM,"",419675.0,1200000.0,0.00665439,0.0025,145,314964.0,300.793613,addition,0.3027321,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,31.0965,10.38
Perion network ltd,PERI,"",152230.0,1063000.0,0.00589468,0.0122,146,-64062.0,-29.618294,reduction,0.5645318,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,5.53,12.99
Fattal holdings 1998 ord shs,FATLF,"",18692.0,1055000.0,0.00585032,0.0094,147,-1819.0,-8.868412,reduction,0.1208935,Q3 2019, ,13F,09/30/2020,,
Danel adir yeoshua ltd,DANE:TA,"",8522.0,988000.0,0.00547878,,148,8522.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Nice ltd adr,NICE,"",4218.0,958000.0,0.00531242,0.0128,149,-2081.0,-33.03699,reduction,0.0067238,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,146.19,273.7
Camtek ltd,CAMT,"",62142.0,956000.0,0.00530133,0.0141,150,-42023.0,-40.342725,reduction,0.1510354,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,10.08,24.4
Sapiens international corp,SPNS,"",30300.0,927000.0,0.00514051,0.0149,151,-19075.0,-38.632911,reduction,0.0603235,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,20.46,31.02
Bezeq the israeli telecommunication corp ltd ordinary adr,BZQIF,"",796730.0,926000.0,0.00513497,0.0148,152,-719230.0,-47.443864,reduction,0.0288098,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,1.04,1.11
Ceragon networks ltd,CRNT,"",366555.0,913000.0,0.00506288,0.012,153,-151879.0,-29.295725,reduction,0.4517586,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,2.0,4.85
Nova measuring instruments ltd,NVMI,"",17316.0,903000.0,0.00500743,0.0148,154,-11239.0,-39.359132,reduction,0.0616413,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,37.92,78.16
Inmode ltd,INMD,"",24207.0,876000.0,0.0048577,0.0139,155,-21323.0,-46.832857,reduction,0.0738039,Q4 2019,HEALTH CARE,13F,09/30/2020,31.43,57.81
Cellcom israel ltd,CEL,"",213343.0,872000.0,0.00483552,0.0129,156,-92717.0,-30.293733,reduction,0.1310664,Q4 2017,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,4.5,5.16
Check point software technologies ltd,CHKP,"",7183.0,864000.0,0.00479116,0.0114,157,-2668.0,-27.083545,reduction,0.0051234,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,104.06,127.61
Gilat satellite network ltd,GILT,"",158212.0,862000.0,0.00478007,,158,158212.0,,new,0.2848369,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,5.45,7.32
Matrix it ltd,MTRX:TA,"",36435.0,857000.0,0.00475234,,159,36435.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Hilan tech ltd. ordinary,HLTEF,"",19479.0,851000.0,0.00471907,0.0128,160,-9988.0,-33.895544,reduction,0.0864094,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,42.25,46.05
Rada electronic industries ltd.,RADA,"",141506.0,839000.0,0.00465253,0.0164,161,-91632.0,-39.30376,reduction,0.3254129,Q1 2020,INDUSTRIALS,13F,09/30/2020,5.4,10.07
One software technologies ltd,ONE:TA,"",10561.0,838000.0,0.00464698,,162,10561.0,,new,N/A,Q3 2020, ,13F,09/30/2020,,
Z holdings corp,YAHOY,"",62911.0,838000.0,0.00464698,0.0069,163,-3577.0,-5.379918,reduction,0.0026412,Q4 2019,COMMUNICATIONS,13F,09/30/2020,7.09,13.72
Audiocodes ltd.,AUDC,"",26104.0,821000.0,0.00455271,0.0151,164,-18192.0,-41.069171,reduction,0.0798651,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,20.84,30.72
Cyberark software ltd,CYBR,"",7732.0,800000.0,0.00443626,0.0124,165,-3926.0,-33.676445,reduction,0.0199631,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,84.1,160.0
Radware ltd.,RDWR,"",32753.0,794000.0,0.00440299,0.0122,166,-15310.0,-31.854025,reduction,0.0709551,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,22.24,27.83
Kamada ltd,KMDA,"",92818.0,793000.0,0.00439744,,167,92818.0,,new,0.2075033,Q3 2020,HEALTH CARE,13F,09/30/2020,8.36,6.96
Biondvax pharmaceuticals ltd adr,BVXV,"",19856.0,776000.0,0.00430317,,168,19856.0,,new,0.1723526,Q3 2020,HEALTH CARE,13F,09/30/2020,39.09,3.75
Gamida cell ltd,GMDA,"",186415.0,774000.0,0.00429208,,169,186415.0,,new,0.3159990,Q3 2020,HEALTH CARE,13F,09/30/2020,4.15,9.39
Ituran location and control ltd,ITRN,"",55311.0,770000.0,0.0042699,0.0112,170,-9453.0,-14.596072,reduction,0.2356123,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,19.28,18.79
Partner communications co ltd adr,PTNR,"",194874.0,763000.0,0.00423108,,171,194874.0,,new,0.1060704,Q1 2020,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2020,3.91,5.0
Tower semiconductor ltd,TSEM,"",40501.0,738000.0,0.00409245,0.0117,172,-16712.0,-29.210145,reduction,0.0375275,Q4 2017,INFORMATION TECHNOLOGY,13F,09/30/2020,20.34,28.45
Allot ltd,ALLT,"",79702.0,725000.0,0.00402036,0.0116,173,-23474.0,-22.751415,reduction,0.2263457,Q2 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,8.85,13.55
Silicom ltd,SILC,"",21763.0,705000.0,0.00390945,,174,21763.0,,new,0.3032860,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,32.39,44.36
Batm advanced communications ltd,BTAVF,"",494663.0,699000.0,0.00387618,,175,494663.0,,new,0.1123126,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,,
Taro pharmaceutical industries ltd,TARO,"",12696.0,696000.0,0.00385954,0.0108,176,-2418.0,-15.998412,reduction,0.0331851,Q4 2017,HEALTH CARE,13F,09/30/2020,75.14,77.69
Hexagon ab ordinary,HXGBF,"",9127.0,691000.0,0.00383182,0.0055,177,337.0,3.833902,addition,0.0025944,Q3 2017,INDUSTRIALS,13F,09/30/2020,53.3479,90.75
Meituan,MPNGY,"",10879.0,691000.0,0.00383182,0.006,178,-1545.0,-12.435608,reduction,0.0003698,Q4 2019,CONSUMER DISCRETIONARY,13F,09/30/2020,,78.8
Teva pharmaceutical industries ltd  adr,TEVA,"",75087.0,677000.0,0.00375418,0.0133,179,-24905.0,-24.906993,reduction,0.0068512,Q4 2017,HEALTH CARE,13F,09/30/2020,11.99,11.96
Urogen pharma ltd,URGN,"",34212.0,660000.0,0.00365991,0.0133,180,-12996.0,-27.529232,reduction,0.1548541,Q4 2017,HEALTH CARE,13F,09/30/2020,30.21,20.03
Faro technologies inc.,FARO,"",10475.0,639000.0,0.00354346,0.0049,181,1908.0,22.271507,addition,0.0587327,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,49.2029,73.91
Ametek inc.,AME,"",6300.0,626000.0,0.00347137,0.0049,182,1227.0,24.186872,addition,0.0027384,Q4 2016,INDUSTRIALS,13F,09/30/2020,73.8337,119.0
Align technology inc,ALGN,"",1872.0,613000.0,0.00339928,0.0063,183,-261.0,-12.236287,reduction,0.0023741,Q4 2016,HEALTH CARE,13F,09/30/2020,215.43,567.23
United parcel service  inc. class b,UPS,"",3400.0,567000.0,0.0031442,0.0032,184,754.0,28.495843,addition,0.0004754,Q4 2016,TRANSPORTS,13F,09/30/2020,125.8271,158.9
Moog inc class a,MOG.A,"",7726.0,491000.0,0.00272275,0.0029,185,2562.0,49.612703,addition,0.0259398,Q1 2018,INDUSTRIALS,13F,09/30/2020,70.508,79.07
Arconic corp. (2020),ARNC,"",24415.0,465000.0,0.00257858,0.0047,186,-6747.0,-21.65137,reduction,0.0223693,Q2 2020,MATERIALS,13F,09/30/2020,13.93,30.29
Stryker corp.,SYK,"",2140.0,446000.0,0.00247321,0.0029,187,617.0,40.512147,addition,0.0005695,Q1 2018,HEALTH CARE,13F,09/30/2020,174.6576,241.99
Polypid ltd.,PYPD,"",40433.0,445000.0,0.00246767,,188,40433.0,,new,0.2186236,Q3 2020,HEALTH CARE,13F,09/30/2020,11.01,10.4
Medtronic plc,MDT,"",4181.0,434000.0,0.00240667,0.0028,189,1392.0,49.910362,addition,0.0003106,Q3 2018,HEALTH CARE,13F,09/30/2020,99.8242,116.81
Aerojet rocketdyne holdings  inc. (general tire and rubber - gencorp),AJRD,"",10640.0,424000.0,0.00235122,0.0027,190,4225.0,65.861263,addition,0.0139109,Q2 2019,INDUSTRIALS,13F,09/30/2020,42.4825,52.46
Lincoln electric holdings inc,LECO,"",4538.0,418000.0,0.00231795,0.0033,191,932.0,25.845813,addition,0.0076306,Q3 2019,INDUSTRIALS,13F,09/30/2020,87.5901,118.25
Bertrandt ag shs (deu),BDGXF,"",10898.0,409000.0,0.00226804,0.0031,192,3594.0,49.205915,addition,0.1079522,Q3 2017, ,13F,09/30/2020,,
Michelin compagnie generale des  class b ordinary,MGDDF,"",3786.0,407000.0,0.00225695,,193,3786.0,,new,0.0021229,Q3 2020,CONSUMER DISCRETIONARY,13F,09/30/2020,107.4,129.75
Siemens a.g. ordinary,SMAWF,"",3174.0,402000.0,0.00222922,0.004,194,16.0,0.50665,addition,0.0003971,Q3 2017,HEALTH CARE,13F,09/30/2020,110.2963,145.72
Oc oerlikon corp inc ordinary,OERLF,"",47694.0,380000.0,0.00210722,0.0033,195,10288.0,27.503609,addition,0.0142728,Q2 2019,INDUSTRIALS,13F,09/30/2020,10.7333,10.4
Ultra clean holdings inc,UCTT,"",17231.0,370000.0,0.00205177,0.004,196,619.0,3.726222,addition,0.0425457,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,15.8394,40.03
General electric co,GE,"",57632.0,359000.0,0.00199077,0.0031,197,15311.0,36.178257,addition,0.0006579,Q4 2016,INDUSTRIALS,13F,09/30/2020,11.877,11.33
Nuvasive inc,NUVA,"",6884.0,334000.0,0.00185214,0.003,198,1893.0,37.928271,addition,0.0134234,Q4 2018,HEALTH CARE,13F,09/30/2020,51.2961,56.96
Kaiser aluminum corp,KALU,"",5790.0,310000.0,0.00171905,0.0029,199,2128.0,58.110322,addition,0.0366174,Q2 2019,MATERIALS,13F,09/30/2020,78.2563,102.98
Shopify inc,SHOP,"",188.0,192000.0,0.0010647,0.0054,200,-339.0,-64.326376,reduction,0.0001697,Q2 2017,COMMUNICATIONS,13F,09/30/2020,389.47,1170.47
Ayala pharmaceuticals  inc.,AYLA,"",12063.0,139000.0,0.0007708,,201,12063.0,,new,0.0944044,Q3 2020,HEALTH CARE,13F,09/30/2020,11.52,12.94
Eventbrite inc,EB,"",9767.0,106000.0,0.000587804,0.0014,202,-5726.0,-36.958626,reduction,0.0143040,Q4 2018,COMMUNICATIONS,13F,09/30/2020,18.52,17.27
Ark innovation etf,ARKK,"",1110.0,102000.0,0.000565623,,203,1110.0,,new,No Data,Q3 2020,FINANCE,13F,09/30/2020,92.0,141.91
Voest-alpine ag npv,VLPNF,"",2715.0,72000.0,0.000399263,,204,2715.0,,new,0.0015208,Q3 2020, ,13F,09/30/2020,,
Gmo internet inc ord shs (jpn),GMOYF,"",2700.0,69000.0,0.000382627,0.0008,205,0.0,0.0,,0.0024713,Q3 2018, ,13F,09/30/2020,,
Koninklijke dsm nv ordinary,KDSKF,"",417.0,69000.0,0.000382627,0.0005,206,94.0,29.102167,addition,0.0002418,Q3 2017,MATERIALS,13F,09/30/2020,129.3642,173.11
Xerox corp. (haloid co.),XRX,"",3520.0,66000.0,0.000365991,0.0004,207,1245.0,54.725275,addition,0.0017743,Q4 2018,INFORMATION TECHNOLOGY,13F,09/30/2020,18.1625,22.49
Henkel ag and co. kgaa ordinary,HENOF,"",613.0,64000.0,0.000354901,0.0005,208,149.0,32.112069,addition,0.0003513,Q2 2019,CONSUMER STAPLES,13F,09/30/2020,96.8766,108.0
Eastman chemical co.,EMN,"",803.0,63000.0,0.000349355,0.0005,209,69.0,9.400545,addition,0.0005928,Q4 2016,MATERIALS,13F,09/30/2020,78.833,104.78
Dowdupont inc. (dow chemical),DD,"",1114.0,62000.0,0.00034381,0.0006,210,54.0,5.09434,addition,0.0001518,Q3 2017,MATERIALS,13F,09/30/2020,156.9983,82.34
Sandvik ab ordinary,SDVKF,"",3173.0,62000.0,0.00034381,0.0006,211,307.0,10.711793,addition,0.0002530,Q3 2017,INDUSTRIALS,13F,09/30/2020,15.8035,26.72
Arkema sa ordinary,ARKAF,"",586.0,62000.0,0.00034381,0.0005,212,77.0,15.127701,addition,0.0007644,Q3 2017,MATERIALS,13F,09/30/2020,96.0995,116.5
3m co. (minnesota mining & manufacturing),MMM,"",379.0,61000.0,0.000338265,0.0005,213,105.0,38.321168,addition,0.0000657,Q2 2018,INDUSTRIALS,13F,09/30/2020,162.2983,165.55
Sgl carbon ag ordinary,SGLFF,"",15845.0,57000.0,0.000316083,0.0005,214,2186.0,16.0041,addition,0.0129589,Q3 2019,INDUSTRIALS,13F,09/30/2020,4.3296,5.69
Torray industries inc,TRYIF,"",12408.0,56000.0,0.000310538,0.0004,215,3900.0,45.83921,addition,0.0007755,Q3 2017,MATERIALS,13F,09/30/2020,6.6548,6.19
Evonik industries ag shs (deu),EVKIF,"",2173.0,56000.0,0.000310538,0.0005,216,455.0,26.484284,addition,0.0004663,Q3 2018, ,13F,09/30/2020,,
Allegheny technologies inc,ATI,"",6111.0,53000.0,0.000293902,0.0006,217,1027.0,20.200629,addition,0.0048188,Q4 2016,MATERIALS,13F,09/30/2020,12.4554,18.45
Carpenter technology corp.,CRS,"",2649.0,48000.0,0.000266175,0.0005,218,564.0,27.05036,addition,0.0055166,Q4 2016,MATERIALS,13F,09/30/2020,27.6995,35.7
Hexcel corp,HXL,"",1362.0,46000.0,0.000255085,0.0006,219,62.0,4.769231,addition,0.0016304,Q3 2017,INDUSTRIALS,13F,09/30/2020,49.7475,48.17
Siemens energy ag,SMEGF,"",1587.0,43000.0,0.000238449,,220,1587.0,,new,N/A,Q3 2020,INDUSTRIALS,13F,09/30/2020,,37.34
Thermo fisher scientific  inc.,TMO,"",77.0,34000.0,0.000188541,,221,77.0,,new,0.0000194,Q3 2020,HEALTH CARE,13F,09/30/2020,441.52,503.14
Firstrand ltd (zaf),FANDF,"",13580.0,30000.0,0.00016636,0.0003,222,0.0,0.0,,0.0002422,Q4 2017, ,13F,09/30/2020,,
Snowflake  inc.,SNOW,"",100.0,25000.0,0.000138633,,223,100.0,,new,0.0001972,Q3 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,251.0,291.3
Howmet aerospace inc. (aluminum co. of america - alcoa - arconic),HWM,"",0.0,0.0,0.0,0.0042,224,-24629.0,-100.0,soldall,N/A,Q4 2016,INDUSTRIALS,13F,09/30/2020,18.8,27.95
Avient corp. (polyone corp.),AVNT,"",0.0,0.0,0.0,0.0006,225,-1991.0,-100.0,soldall,0.0000000,Q4 2016,MATERIALS,13F,09/30/2020,31.65,42.83
Inovio pharmaceuticals inc,INO,"",0.0,0.0,0.0,0.2236,226,-771427.0,-100.0,soldall,0.0000000,Q4 2016,HEALTH CARE,13F,09/30/2020,3.92,9.66
Vmware inc,VMW,"",0.0,0.0,0.0,0.073,227,-43850.0,-100.0,soldall,0.0000000,Q2 2020,INFORMATION TECHNOLOGY,13F,09/30/2020,154.86,134.81
Zillow group inc. class b,ZG,"",0.0,0.0,0.0,3.1116,228,-5033059.0,-100.0,soldall,0.0000000,Q4 2019,COMMUNICATIONS,13F,09/30/2020,47.47,143.9
Aptiv plc,APTV,"",0.0,0.0,0.0,0.0016,229,-1901.0,-100.0,soldall,0.0000000,Q4 2016,INDUSTRIALS,13F,09/30/2020,86.99,142.75
Rakuten inc ordinary,RKUNF,"",0.0,0.0,0.0,0.0226,230,-238613.0,-100.0,soldall,0.0000000,Q4 2017,CONSUMER DISCRETIONARY,13F,09/30/2020,9.35,9.24
Precigen inc. (intrexon),PGEN,"",0.0,0.0,0.0,0.0,231,-474.0,-100.0,soldall,0.0000000,Q3 2019,HEALTH CARE,13F,09/30/2020,5.36,8.01
Eastman kodak co,KODK,"",0.0,0.0,0.0,0.0004,232,-18332.0,-100.0,soldall,0.0000000,Q4 2016,INFORMATION TECHNOLOGY,13F,09/30/2020,3.53,8.14
Wirecard ag ordinary,WRCDF,"",0.0,0.0,0.0,0.0001,233,-1324.0,-100.0,soldall,0.0000000,Q1 2019,FINANCE,13F,09/30/2020,128.67,0.57
Rakuten inc adr,RKUNY,"",0.0,0.0,0.0,0.0013,234,-13623.0,-100.0,soldall,0.0000000,Q1 2018,CONSUMER DISCRETIONARY,13F,09/30/2020,8.11,9.6
Galmed pharmaceuticals ltd,GLMD,"",0.0,0.0,0.0,0.0119,235,-232172.0,-100.0,soldall,0.0000000,Q3 2018,HEALTH CARE,13F,09/30/2020,6.48,3.59
Bellicum pharmaceuticals inc,BLCM,"",0.0,0.0,0.0,0.0,236,-94.0,-100.0,soldall,0.0000000,Q2 2018,HEALTH CARE,13F,09/30/2020,233.08,3.65
Solaredge technologies inc,SEDG,"",0.0,0.0,0.0,0.0163,237,-10918.0,-100.0,soldall,0.0000000,Q4 2017,ENERGY,13F,09/30/2020,93.98,282.26
Alteryx inc,AYX,"",0.0,0.0,0.0,0.1909,238,-108037.0,-100.0,soldall,0.0000000,Q4 2019,INFORMATION TECHNOLOGY,13F,09/30/2020,127.45,120.65
Sol-gel technologies ltd,SLGL,"",0.0,0.0,0.0,0.0122,239,-127152.0,-100.0,soldall,0.0000000,Q1 2020,HEALTH CARE,13F,09/30/2020,8.34,10.43
Bet shemesh engines holdings ord shs,BTSEF,"",0.0,0.0,0.0,0.0081,240,-44459.0,-100.0,soldall,0.0000000,Q4 2019, ,13F,09/30/2020,,
Lightspeed pos ord,LGHEF,"",0.0,0.0,0.0,0.0127,241,-49601.0,-100.0,soldall,N/A,Q2 2020, ,13F,09/30/2020,,
